公司名称（全称）,岗位详情,所在城市,薪资区间,岗位名称,BOSS链接,年限要求,学历要求,备注,组长,收集人姓名,父记录,父记录 2,父记录 3,所在区域
某知名汽车研发公司,来自职位描述AI产品大语言模型应用工作职责1.负责业务痛点分析，与业务部门紧密沟通，深入挖掘和理解复杂的业务问题，并判断其是否适合用AI技术解决。2.负责目标与价值定义，为AI项⽬定义清晰、可衡量的成功标准（如准确率、效率提升百分⽐），并评估解决⽅案的投入产出比，确保其商业价值。3.负责需求转化与设计，将业务需求转化为详细的技术需求⽂档，包括功能和非功能性要求;针对大语言模型等AI技术，编写高质量的提示词，设计AI与用户的交互逻辑。4.负责验收与验证，在产品上线前，基于业务诉求，主导对AI功能进行验证，评估其输出的相关性、准确性和安全性等。任职资格1.学历要求：本科及以上学历。2.行业经验：53年及以上数字化产品策划经验，其中至少1年与AI/数据产品相关；有营销或相关业务领域经验者优先。3.能力要求：3.1具备出色的业务痛点洞察力和需求分析能力，能精准定义业务目标和成功指标。具备较强的商业敏感度，能进行初步的投入产出分析；3.2了解机器学习、自然语言处理等AI技术的基本原理、能力边界及最新发展趋势。核心要求掌握提示词工程技巧，能高效地将复杂业务需求转化为高质量的模型指令或交互设计；3.3掌握AI系统（特别是大语言模型应用）特有的测试与评估方法，能设计验证方案并对输出结果的相关性、准确性、安全性与偏见进行有效评估；3.4具备卓越的跨部门沟通和协调能力，能清晰地在业务、技术和设计团队之间传递信息、推动共识。认证资质人力资源服务许可证资质说明人力资源服务许可证人力资源服务许可证是由国家人力资源与社会保障相关部门颁发，代表人才经纪人所在企业可以合法开展人力资源相关业务的资质证件。展示标签代表该企业已上传许可证并经由平台审核验证通过。石美美 武汉添才翰格科技...·猎头顾问,西安,20-21K,AI产品经理,https://www.zhipin.com/job_detail/18a1d70be513c8860nRz3ty9FFNV.html?securityId=DVJ48G5cIywN5-G1IDBHZCXOZT-YMvt1340h2OQyRMKq8V96RCMycQRUx_Pu5-c_k-f0uVrmUvWl1vdP4KnVUxFIw1U36203sZmidmH-BQQ2ONCxmT-rFjSiW5qRwgjDML-bn5T_LB0YG6n-04mRYXUvf6J3IU21Q6V9a2r268ZF97955at_yqPxasuE3_aOcRBhD70WQRY9kegfNReW4q9z0L63u-ZEJmWWTL5FiWXbY7YqakmmaCvqAd5LFkTJIjVK2l1OyAELiwYCzbd5sZTORrmRVNTtZhNYF44-YYCo_w~~&lid=1lOG5foJYTJ,5-10年,本科,"
",41-谭莎,王昱翔,,,,
汇每家科技,举来自报职位描述B端产品岗来自位职责： 1、负责AI相关产品的规划、设计及全生命周期管理； 2、收集并分析用户需求，推动产品功能优化与迭代； 3、协调跨部门资源，确保产品开发与上线进度； 任职要求： 1、具备良好的逻辑思维能力与数据分析能力； 2、熟悉AI技术发展趋势，对⼈⼯智能领域有浓厚兴趣； 3、具备优秀的沟通协调能⼒与项目管理能力； 4、有较强的产品⽂档撰写能力与用户洞察力。代女士本月活跃 汇每家科技·招聘者,西安,10-15K,ai产品经理,https://www.zhipin.com/job_detail/a223f046f145936d0nVz3926ElNX.html?securityId=TwmaWFhO4AC5k-T1KQpBmSuJ0DKWZKSqevYEuSXLpX12eFbugKRyGdbHnCUJlwIwBGcn3RyDimNo9Ir_hoFGDulQU8ZLmnN1BBHwNiaviA94Mg0bKaXQ8c5i2PW6gMYUxhAbl4lLGceJ58r3aZYqGEfK2hJdXyyRJocNIykfxnCNScgwstZv7Y56XBE4o9QtD0Vj75Egt9DnStrf6EcuC_I-nH-tWm0P8tct0XPpL3r-yNh5_IJyvxTlwDylpv-MRbQvL3qIFc9Ic7HI3BpRgt8EzurYQiVMMvKXvOl2v42a1A~~&lid=1lOG5foJYTJ,3-5年,本科,碑林区,41-谭莎,王昱翔,,,,
中科瑞诺,微信扫码举报职位描来自述岗位职责： 1、负责AI产品的需求调研与用户场景分析，挖掘业务痛点并输出产品解决方案； 2、主导产品从概念到落地的全生命周期管理，协调算法、工程、设计等团队推进项⽬进度； 3、跟踪AI技术发展趋势和竞品动态，结合业务实际提出创新性产品优化建议； 4、定义产品功能逻辑与交互规则，输出原型设计、PRD⽂档及验收标准； 任职要求： 1、具备扎实的产品⽅法论，熟悉AI类产品开发流程和技术边界； 2、逻辑清晰，具备较强的数据分析与抽象建模能力； 3、熟练掌握主流产品设计工具，如Axure、墨⼑、Xmind等； 4、对人工智能技术有理解，能够与算法团队高效沟通协作；侯女士本月活跃 中科瑞诺·HR.招聘专员,西安,5-10K,ai产品经理,https://www.zhipin.com/job_detail/8760d1e1576d6c4c0nZ-2ty-FlBQ.html?securityId=pSh2tE1KAQc9m-m1uA5ouPZtsmFYtQd6FXdOiURtSgeQ0Q5i2OO7ixB8Kg78alfmkEMk5lxnDxeE4tc7UXgRrItLWzudP68peYEE-EJLdFj-rb8-8_XRxA4vGyNLIgQymXUlBve4j6ZsaxDyejf1VSu7KS96nwN6i2nRiDwHmT1t-tPtuwmXhXuWWcrd8PjrTiNT3dlnVl-e-7SWJhN_yyst3Fv61rlvk7lqkP7BGRA4YI5NAMnoLp56pWbb4ZgaVS7jRNWIh2S0ckl6K9Pcc-EchU21ZgSkdrBebqo2a3abFJQ~&lid=1lOG5foJYTJ,5-10年,本科,雁塔区,41-谭莎,王昱翔,,,,
济南某大型通信/网络设备上市公司,微信扫来自码举来自报职位描述大型央企AI项目合作智能制造/交通AI系统集成政务/能源/金融/计算机相关专业销售支持/交付管理AI技术工作职责：1.制定公司AI技术发展整体战略和路线图，推动AI技术与软件开发及其他主营业务的深度融合；2.基于所具备的行业背景，制定垂直行业AI业务发展子路线图（如政务AI/能源AI），明确1年短期、3年中期项⽬落地⽬标，牵头标杆项⽬攻坚；3.负责重大AI项目的技术决策和⽅案设计，攻克关键技术难题，带领团队开展技术研发和项目实施，确保项目符合行业规范与国企业务需求；4.建立AI技术人才培养体系，指导核心骨干与应届生成长，提升团队整体技术水平；5.对接外部科研机构、高校、行业合作伙伴，建立技术合作关系，整合行业资源推动AI产品/服务商业化落地；6.参与公司业务转型规划，提供AI技术专业支持和决策建议，平衡技术落地与市场需求，实现技术价值与商业价值双重达成任职要求：1.学历年龄：硕士及以上学历，计算机科学与技术、人工智能、机器学习等相关专业；35-45岁，具备成熟的项目管理和团队领导能力；2.核心技术：精通机器学习、深度学习、NLP/计算机视觉等核心技术原理，能独立制定AI技术路线、架构设计方案（大模型微调与部署、AI系统集成等），具备复杂AI技术问题解决能力，有可落地技术成果（专利/标杆案例）；3.行业适配：熟悉所匹配行业的业务逻辑与痛点，能结合AI技术提出针对性解决方案（如政务懂数据共享、能源懂工业传感数据特性），具备行业资源整合能力，可对接上下游合作伙伴；4.综合素质：极强的客户需求挖掘、解决方案包装与商务谈判能力，跨部门/跨企业协同推进能力突出，具备技术前瞻性、业务洞察力和抗压能力，认同国企价值观，严守商业秘密。工作经验要求：1.8年以上AI相关工作经验，其中5年以上担任技术负责人/项目负责人角色，需具备政务/能源/金融/智能制造/交通任一核心行业3年以上深度任职背景；2.主导过至少2个大型AI项目全生命周期管理（需求调研-方案设计-开发实施-上线运维），且项目与所匹配行业核心业务强相关，具备预算500万以上跨部门协作AI项目主导经验优先；3.拥有“技术+营销”融合实战案例，或具备国企/大型央企AI项目合作/任职经验，熟悉国企项目审批流程、跨部门协作模式者加分。认证资质人力资源服务许可证劳务派遣经营许可证资质说明人力资源服务许可证人力资源服务许可证是由国家人力资源与社会保障相关部门颁发，代表人才经纪人所在企业可以合法开展人力资源相关业务的资质证件。展示标签代表该企业已上传许可证并经由平台审核验证通过。劳务派遣经营许可证劳务派遣经营许可证是由国家人力资源与社会保障相关部门颁发，代表人才经纪人所在企业可以合法开展劳务派遣相关业务的资质证件。展示标签代表该企业已上传许可证并经由平台审核验证通过。鲜女士 思莱德人力·猎头顾问,西安,20-40K,人工智能专家 /人工智能项目经理,https://www.zhipin.com/job_detail/11f968815c11a7370nVy2tW0F1RW.html?securityId=S4Pcthyyn25AA-a19LnV2ypCsvR7L10Gcm_jU3kneU_SpcfdbEPbQlZRejO2g-ZgNDzZarG3MgPkkL6nIbAvrllFcubbJB0S9p4o55L4gmjdrZRHSvyd0Xhk9U_TEi_FM4VmRb5AJ6uQATPVqIbsSxYQGzg02w4M41-Cy-4JZ-4LrfzfIZnRbrYj8LsxIh2gDynsbJaLiIiEbb6hd4cFOJvQaarWLc1uswh80sfb5_9KkRi8oGcB3F9TLGVPZYvNbuQLTysG5yI6M-KOxeiFqw-JOzQ-DfJYe1GJ7FqynOM~&lid=1lOG5foJYTJ,10年以上,硕士,"
",41-谭莎,王昱翔,,,,
迈道科技,职位描述G端产品/政务产品AI产品模型微调视觉分析岗位职责：1、负责公司移动端、web端、硬件产品的规划、设计、需求文档的撰写及产品原型绘制，协助开发团队理解和掌握需求；2、协助项目开发、设计及周期和进度把控，确保项目进度，快速、高效推进功能上线；3、挖掘用户需求，优化用户体验，持续提升产品的产品价值和用户体验；4、参与产品对内对外宣介，与各部门沟通和协调，推进产品使用并收集反馈。任职要求：1、具有5年以上产品经理工作经验，3年以上AI、大模型相关项目工作经历；2、有交通行业、建造行业的软件安全管理经验或软件开发经验者优先；3、具备一定的IT技术能力，熟悉数据库、技术架构、人机交互规则等；4、思路清晰，较强的表达能力，具备一定的项目管理能力，善于跨部门组织、沟通和协调；行女士3日内活跃 迈道科技·HRM,西安,11-20K,产品经理（AI大模型方向）,https://www.zhipin.com/job_detail/955f7c52978ec78103Ny3t--FlFV.html?securityId=AH-5xGPSbeHZb-61Lv70R-fTPq9te18iuD_0Ot0n6PmNLiaYzUKInyn_kmGwarkhJa2_kj0zottMF34uX1WHKcWbGrW5NUqVLLeoWi7lorCRJdUkzvgiKwfjRGSwXzPI-e1PMdS5H8qx45m-S7--CFb9kgp5JwMhDzWv42PmwgF_mBOaTsCPEy1XBb3c9o9ugD6YZ9ydUtl-8J9VMvqYaNj7nEHpNHqgGhaInYJQUQ18zMtFT9mrKLMgQJLJIfMaFGqFAJKlqMOegj1SDHI1R5vvV1kFbV0um6i_SrnVebk~&lid=1lOG5foJYTJ,5-10年,本科,"
",41-谭莎,王昱翔,,,,
神州信息,职位描述岗位职责：1、来自深入金融业务一线（如财富管理、信贷审核、客户运营等），负责AI智能体从场景挖掘、方案设计、搭建配置到落地运营的全⽣命周期管理。作为“业务”与“技术”之间的超级翻译官，通过⼯作流编排、Prompt⼯程及数据驱动的迭代，将大模型能力转化为实际可⽤的金融级产品2、场景挖掘与边界定义：深入调研金融业务痛点，识别高价值、可落地的AI场景；基于对大模型能力边界（幻觉、上下文、推理速度）的深刻理解，判断技术路径（Prompt/RAG/微调），规避不可落地的伪需求。3、智能体架构与方案设计：负责AI Agent的角色设定（Persona）、工具调用（Tools）、记忆机制（Memory）及工作流（Workflow）的详细设计；规划“人机协同（Human-in-the-loop）”机制，设计AI不确定性下的兜底交互体验，确保金融业务合规与安全。4、Prompt工程与配置落地：在企业级智能体平台（如Coze、Dify或自研平台）上进行核心Prompt的编写与调试；运用思维链（CoT）、少样本学习（Few-shot）等技巧激发模型潜力；负责知识库的结构化整理与切片（Chunking）策略设计。任职要求：1、学历与背景：统招本科及以上学历，3年以上互联网或金融科技产品相关工作经验（特别优秀者可适当放宽年限要求），计算机、金融、心理学或逻辑学相关专业优先。2、AI Native特质：对AI技术有狂热的兴趣，是ChatGPT、Claude、Antigravity等工具的重度用户；不满足于浅层对话，习惯用AI解决生活和工作中的实际问题。3、技术理解力（非代码）：理解大模型底层原理（如Transformer架构、Embedding向量检索、RAG原理、Function Calling机制）；能与算法工程师同频对话，理解参数调整（Temperature/Top_p）对输出的影响。4、极强的抗压能力：能接受AI落地过程中的不确定性和反复试错，具备在模糊环境下拿结果的韧性。5、快速学习：能紧跟AI技术周维度的迭代速度，快速消化ReAct、Multi-Agent等新概念并应用于工作中。禹业燕3日内活跃 神州信息·HR,西安,13-15K,AI产品经理,https://www.zhipin.com/job_detail/551ea05fb60b33f40nVz0ti-FlRX.html?securityId=yRLWNNDh4FUa0-j1QUaQTERJsj--Syg1LjQ8l4XJvbasFrDOyqo7dN9LaZrkR6foECeYPjUu1Q1YtP8hwsuXHoEFBgA_eMhzVTPscJeqle4lOWNEUyNmh_wgsqy17N_Mg2lSBtnhKlwA4kMA9_MqI8f8zWE9BBFRlACTowLYjZZePBDo2IaAo5DDFol0qLXH_bepAGXo7HDiwmRHa0Y1j8U6_DbRglPTK_zbKssaKK8T8px33LoD_tDCZHhgg007FmDnUfffHLDtweicZPvswAhp1VJ0N3htG9vRr3WV5YlnUsw~&lid=1lOG5foJYTJ,3-5年,本科,雁塔区,41-谭莎,王昱翔,,,,
亿达信息,微信扫码来自职位描述CRMAI加分职位描述1、深入理解客户业务和需求，结合智能体平台能力，转化为客户场景化解决方案，帮助客户挖掘和落地重点业务场景智能体2、熟练掌握智能体平台特性，结合项目阶段，进⾏针对性培训、答疑、需求澄清，协助客户深度使⽤产品3、熟悉 AI 领域产品技术，并结合客户业务特性，辅助设计可复制的场景/⾏业方案，推动客户场景规模化落地4、辅助运营推广、协助举办智能体⼤赛等方式协助客户规模化场景落地结合客户实际运营情况搭建产品知识库，沉淀产品最佳实践、行业模板案例、典型应用场景等高质量物料职位要求1、大专及以上学历，计算机科学、软件工程、人工智能、电气自动化等相关专业优先；2、熟悉B端软件行业，有CSM、产品、解决方案等相关综合管理经验优先，有CRM、OA、ERP等企业管理专业软件或互联网客户服务、客户成功、解决方案架构师或相关岗位等经验优先；3、具有大模型、低代码平台、智能体平台、云计算、AI等相关领域从业经验者优先；4、熟练掌握智能体相关技术知识，如大模型、自然语言处理、机器学习等，了解Coze、Dify等智能体平台的特性与应用场景者优先；5、具备优秀的沟通表达能力、人际交往能力及商务谈判技巧，能够与客户各层角色进行有效沟通6、目标结果导向，自驱力强，持续学习和深刻理解AI对生产力的变革和对客户价值刘女士3日内活跃 亿达信息·人事招聘专员,西安,12-16K,AI客户成功经理,https://www.zhipin.com/job_detail/a2df785bf8a27e540nZy3t--EFRT.html?securityId=UDp9VlYKIqvlf-81qcnz1bU-JJbK9WmJa4AO3Gtb4-T-Ygp1ZOWl9oz7is6H1wt4Wj2Vo-DcqWT0bx0cRfO5aMvsxvpPHi68ChvFkK0tlcItj_RZe3Y96SenULjb-DAgDeU76AEniMprGLLPLmx3000yRGNTWsEMymWpO3p5PAOM6rFma_AevRQkh27nVCGfzsWWZPmNI1fj_-0yQVZYbNoI5XQt2v-zCAyDqeQplMRZ-QUiI3jzoyfClqWGx2KlIPS7LI-sW42FvbvbAjAS6juCkRrxJzyIlVANML3__kn8&lid=1lOG5foJYTJ,3-5年,大专,雁塔区,41-谭莎,王昱翔,,,,
智翼科技,微信扫来自码举报职位描述深度学习自然语言处理算法Python职位描述薪资范围：面议（基础薪资 + 早期期权/股权激励） 【岗位职责】1. AI产品核心开发：负责公司AI应用从0到1的搭建与迭代，使用Python编写⾼质量、可扩展的后端代码，并参与前端界⾯的联调与优化。2. API⽣态集成：设计、开发和调试各类API接口，对接第三方AI服务、数据库及内部系统，确保数据流通顺畅与系统稳定性。3. MCP能力构建：基于Model Context Protocol (MCP) 开发 Skills 或代理层，实现AI模型与外部⼯具、数据源的智能交互，提升产品的上下文感知能力。4. AI驱动开发实践：作为Claude Code等AI编程工具的深度使用者，将其融入日常开发流程，通过AI辅助加速代码编写、调试与重构，探索最佳开发范式。5. 技术基建与协作：利用GitHub进行版本管理、代码审查与项目管理，建立规范的协作流程；参与技术选型、架构设计，并贡献于开源社区或内部知识库。【任职要求】1.3年以上Python开发经验，熟悉异步框架（如FastAPI、Sanic）及常用库，能独立完成复杂功能模块；具备全栈能力（如React/Vue、Node.js）者优先。2. API调试与开发：熟练掌握RESTful API设计规范，能高效调试第三方接口（包括鉴权、限流、数据映射），有高并发API开发经验者加分。3. MCP与Skills深度理解：熟悉Model Context Protocol原理，有实际基于MCP开发Skill或Agent的经验，理解如何通过协议扩展AI模型能力边界。4. Claude Code重度用户：日常开发中深度依赖Claude Code或其他AI编程助手（如GitHub Copilot、Cursor），能总结AI提效技巧，并愿意在团队中推广。5. GitHub深度玩家：拥有活跃的GitHub账号，熟悉Git工作流、CI/CD、Issue追踪及开源协作模式；提交过有质量的PR或维护过自己的项目者优先。加分项（软性优势）：- 有已上线的AI产品（Web/App）或独立开发的Side Project，并能提供演示或代码。- 熟悉现代AI技术栈（如LangChain、LlamaIndex、RAG、向量数据库、微调等）。- 具备创业心态，愿意在早期阶段共同承担不确定性，并享受从0到1的创造过程。【我们提供】- 事业合伙人机会：除有竞争力的薪酬外，核心成员将获得期权/股权激励，共享公司长期价值。- 极客氛围：团队由AI工具重度使用者组成，鼓励尝试新技术、新工具，技术决策扁平，你的想法能直接影响产品方向。张雷2周内活跃 智翼科技·招聘者,西安,13-18K,AI产品开发工程师,https://www.zhipin.com/job_detail/ea0228e38d21d8fa0nZ-3t69FltV.html?securityId=dsrenCbo46hiQ-G1yJ9wv8fDwwqzFxynjWBubqbpn8hLNqp_xupfItSUPch3hqUDYiZT2j0X-JPoUvWf07M9dL5GI6Z5oaXqQLys5dMTV17vIpqCHQ_EsZmiOgbMVQXIbOLYUogOg5lZiye-bKgiIXRuWBV4ksNft57jAB2vdfoMytNgUaqgsyFKBwZbqVPwDFMT2k47ela4WjViITw2CJydA8jBpFQ8aVwASssI23qpBlMpK-jrywrY0R4ZWMq_RhBuhlbmI7u4qbjoGb-fvccMXGt2EZf3G_kGNSJUvnkd2cY~&lid=1lOG5foJYTJ,1-3年,本科,"
",41-谭莎,王昱翔,,,,
蒙图未来,"职位描述B端产品C端产来自品语义类AI岗位职责:1.负责产品的战略规划，制定短期、中期、长期产品发展目标，对产品的用户体验、核心指标和商业化效果负责2.负责产品的开发和迭代周期管理，推动和指导团队对产品各阶段目标的理解达成⼀致，协调各部门资源，保证产品按时⾼质量交付；3.统筹开展⾏业研究和用户研究，深刻理解行业发展趋势和竞品战略战术，结合⽤户反馈，针对性地调整业务目标，优化产品功能，实现产品创新；4.负责制定产品团队工作规范体系，不断完善业务流程；5.负责产品团队建设与人才培养。任职要求:1.5年以上的产品管理经验,其中至少1年在人工智能领域有落地的产品；2.有知识产权经验优先；3.有技术背景,能够理解并参与技术讨论和决策者优先；4.有知名企业或带领团队经验者优先。面试流程简历筛选-初试（线上）-交叉面（线上）-终面（线下）公司介绍极笔专注将知识产权与人工智能深度融合的科技公司司,秉持""科技赋能知识产权,创新驱动未来发展""的理念,致力于通过AI技术提升知识产权服务的效率与质量。通过运用先进的大语言模型(LLM)和检索增强生成(RAG)技术,对海量的专利数据进行快速、准确的为分析和挖掘,在专利场景中提供智能检索、新颖性分析、辅助撰写及说明书生成的一站式服务。我们的团队极笔汇聚了来自知识产权、人工智能等领域的资深专家和专业人才，致力于为客户提供高质量的专利撰写与申请服务。团队核心成员包括多位拥有十年以上经验的专利代理人，他们熟悉全球主要国家和地区的专利法规，尤其擅长处理AI领域的复杂技术方案。此外，团队还配备了多名技术专家，他们在AI算法、深度学习、大数据分析等领域具有丰富的研发经验，能够深入理解客户的技术创新，确保专利申请文件的专业性和准确性。我们的产品https://patentfuture.com/曾女士今日活跃 蒙图未来·资深招聘",西安,15-20K,资深ai产品经理（生成式AI方向）,https://www.zhipin.com/job_detail/1a44c817dc33fc200nRy0961GVdW.html?securityId=nzthtKd8viWJe-_1guzGspDcFZQD79c_f48DFWPOYeFQFGvpqvwiNcKwmwy4G_eCIOUvDP35Ckkj9Q5xa5xBG2AHAOdTcNf3mFo8wOjR8mgHG-P6L5q8AkhXHGML5S9sJgBqminS7M8yIHBmWGgCHEwnLIkI_L_0WKpkEDK1ZgYDzRQS1HlWpQzxewgDwPFo6ojh4KmpZKANO6Ic5u7zJOfvov1RJvn_UJFCVZUgv3zS-sb1WYvVRQXUC5J8ays4UQYJtMjxskn_Kb1ouwrv7O6vchOSlPwRJMcgQ-vGxy5vcg~~&lid=1lOG5foJYTJ,5-10年,本科,雁塔区,41-谭莎,王昱翔,,,,
积木家,职位描述AI 工作流产品经理岗位定位负责将公司核心业务场景中的流程、知识、规则与 AI 能力进行结合，设计并落地可运⾏的 AI ⼯作流 / 智能体应⽤，提升业务效率、协同质量与决策支持能力。该岗位不是传统功能型产品经理，⽽是面向真实业务场景的 AI workflow 搭建者与落地推动者。岗位职责1、深入业务一线，梳理公司在经营分析、销售运营、市场获客、内部协同等场景中的真实问题，识别适合 AI 化与流程化改造的高价值场景。2、将业务问题拆解为可执行的 AI 工作流，清晰设计目标、输入输出、流程节点、规则判断、知识调用、人工介入与结果闭环。3、基于大模型、RAG、知识库、规则库等能力，结合 Dify、Coze 等平台或其他合适方式，快速搭建 AI 工作流 / 智能体原型，并推动验证与迭代。4、负责从需求分析、方案设计、原型输出、研发协同、测试上线到效果复盘的完整闭环，确保项目能真正进入业务而非停留在演示层。5、与业务、研发、运营等多角色紧密协作，推动 AI workflow 在真实场景中落地，持续优化准确率、稳定性、使用率与业务价值。6、沉淀 AI 工作流的场景模板、设计方法、搭建规范与复盘机制，逐步形成公司内部可复制的 AI 应用方法论。任职要求1、本科及以上学历，3 年及以上产品相关工作经验；具备流程产品、BPM、低代码、企业工具产品或复杂业务系统经验者优先。2、具备较强的业务理解与流程拆解能力，能够把复杂业务问题拆成清晰的流程节点、角色动作与输入输出关系。3、理解大模型应用的基本逻辑，能够区分模型、知识库、规则、工作流、Agent 等不同能力边界，并能结合场景做合理设计。4、有 Dify、Coze 等平台的实操经验优先，但不以“会用某个平台”为核心标准，更看重基于真实场景搭建 AI workflow 的能力。5、具备较强的动手意识与落地能力，能够快速搭建最小可运行方案（MVP），并基于业务反馈持续优化。6、具备良好的结构化表达、跨部门协同与项目推进能力，能推动方案从讨论走向上线与应用。7、具备数据意识和结果意识，能够通过数据、反馈和业务表现判断 AI workflow 的有效性，并持续迭代。8、有零售门店、销售运营、市场获客、企业协同、内容生产、知识管理等场景经验者优先。优先考虑1、有将业务流程与 AI 能力结合并真正上线运行的案例，而非仅做过演示 Demo 或概念方案。2、能够独立讲清一个 AI workflow 从业务问题识别、流程设计、工具选型、上线验证到迭代优化的完整过程。3、具备一定技术理解力，能与研发高效协同，理解接口、数据流、知识库接入、模型调用等实现逻辑。4、对新工具、新方法有较强学习与试错能力，能够在不确定场景下快速推进落地。薪资具体可以面议上班时间朝九晚六，周天休息，第三周双休，法定假正常休息。毕俊3日内活跃 积木家·招聘主管,西安,10-15K,AI工作流产品经理,https://www.zhipin.com/job_detail/27560b71b68088e90nZ92d65FVdY.html?securityId=uit4-oFEIQ4ZZ-S1_kxqW6GgK4O6hU-q4SXt8iEMSTEUCeC_ByjCNhA7DAxmDXzsUROABXnFjHSrDuS_8BwxcSenUwMwQbb-hHRCiivjsj1aCJsu6_xkMiiH245WhC8tVIk8Q-yvYOJIa2HeuQjpK5T9vUaye2gxcCdVjaDbTpmBtDZG_bzxEMtjpbX0ArvhQC21DeT0V_5KYUkIi_Lnik83TjvmkpKYF6tN-4vgfK3xrmvgpfRoMm2vK-CUWXYzvaZv4w_TyXR8M4oXIPZRI67gzxDlHPSEJ2PXGziYE06d&lid=1lOG5foJYTJ,3-5年,本科,未央区,41-谭莎,王昱翔,,,,
迈搏智能,"分享职位描述B端产品我们在找一位能把AI真正做成产品、而不是只停在概念层的产品经理,一起把AI 落地到真实业务和复杂场景中。你要做什么发现AI机会: 理解用户流程和业务痛点, 判断哪些问题适合⽤ AI 解决做AI产品: 把业务问题转成AI产品⽅案, 设计 MVP 并持续迭代设计 AI功能: 与⼯程/数据团队一起定义输入输出、数据来源和效果标准跑实验、看结果: 通过数据和实验验证AI效果, 持续优化准确率与体验推进交付: 协调研发上线AI功能, ⽀持测试、文档和内部推广我们希望你具备2-6 年产品经理/数据产品相关经验理解 AI 产品的基本原理(模型、Prompt、规则、数据依赖、评估方式等), 不要求写代码擅长拆解复杂问题, 能在不确定中快速迭代有数据意识, 能用指标和实验驱动决策能和工程团队顺畅沟通, 对新技术保持好奇英语可流利沟通加分项做过AI功能/自动化/智能产品熟悉 B2B、SaaS 或运营型工具有 AI Agent 或工作流相关经验你将获得真实业务场景中的AI 产品实践高参与度、能落地的产品空间快速学习和成长的机会加分项有以下行业经验：人工智能何女士3日内活跃 迈搏智能·人事主管",西安,25-50K,ai产品经理,https://www.zhipin.com/job_detail/54d68bbc654a890a0nVz3dm8E1dX.html?securityId=YJ9LecSPl7D2n-d1ysGIPhUvfbqM-rj-HFVhr4T7OcUCsEig1siA0Wx4aKYY4IVF7QfPmnlzq-nvQPylIyGFD2J_kp88JGGl5LAq-FBpklXH3oqtydsvct7yhH7mYaN4Yti4-g_TRn7bX9Fjh7NrZ6V4q7_7CHK2aSQ0qrWIE9YitFoxjMB7ovldr5sNJLbOBjeHw61MblUICEVN70vHz2VUwIK1zb9xP_ZUHZ3HYd0N5SQVLhTfitNofoVYnr0SLzCOc55pCfXw-E80hz1F_VS5S3BT4bD8stManRXI-50OAg~~&lid=1lOG5foJYTJ,3-5年,本科,雁塔区,41-谭莎,王昱翔,,,,
软通动力,"微信扫码举报职位描述claudeAI语音对话播音主持语音标注标注数据分析数据分析能力强猫箱海螺分类标注鹅厂外包岗位，线上面试。急招，30个HC， 双休，五险一金⼯作地点在重庆两江新区职位描述：1.承接语⾳类⼤模型的数据标注和评测数据标注工作（主要评测&标注内容包括：用户与产品⾳频的听感、自然度、语音语调、情緒表现等），保障数据交付质量和进度；2. 参与构建高质量的语音类数据集与评测集，支持项目经理与产研团队定义数据评测和标注环节的理想态；3.深刻理解语音类数据的交付需求，梳理并分析数据质量的问题并不断迭代优化，推动标注数据在模型训练中的运用。职位要求：1.统招大学本科及以上学历。语言学、播音主持、文学、汉语言、心理学等专业，有播音主持、声音&广播剧编剧等从业背景者背景优先；2. 在语音类产品方面有浓厚兴趣。如广播剧、配音乙游或同类型语音产品重度用户，有广播剧配音爱好、有自己所熟悉的声优等。担任过声优者优先；3. 要求对声音的表现力有自己的判断能力，能准确把握语音背后的语义、语法、情感信息，在日常对话交际中具备""高情商”素质；4. 对AI行业有热情，使用过AI语音对话功能、对主流AI软件有自己的认知。如豆包、猫箱、海螺、claude等主流AI产品的语音功能；5.加分项：有大模型语音数据标注工作经历，熟悉大模型语音标注与评测方法，具备敏锐的语音数据感知能力和数据质量判断能力。钟玉婷刚刚活跃 软通动力·人事经理",西安,6-11K,AI语音大模型训练（音频类/外包-base重庆）,https://www.zhipin.com/job_detail/703a15d78192ea5a0nZz2tW0FFRS.html?securityId=Ptp9F26fsN1KV-R1Flrp7SNSUYXigQhnQ4F5_SNzN3Gj0R9oa6QFbaZpRUoXjpx8ONSaBAla71gnl9E5Hy8SzSZHu7NivlFcn56oq1fgu2SrlJicqS4IDCrvK_m9QAN2v6zYZDeAfTpsjU017sWHvqZQOsKZrAZSSGFVz41VQwEeUn22pXI1z-AZFowruRig0oyDuS1Ea0CPuBgS_fp-yDRnxWrK5UU_ZkAfNSNh-V3535BL-1PC7p4K1PiRUX6eK-XA8uKEgM0nGTnIuM-haj1k8PanVp6DP6uczNsxvKNCUoRdk3zj-h1vxDVjnzbA0vzfYaY~&lid=1lOG5foJYTJ,1-3年,本科,雁塔区,41-谭莎,王昱翔,,,,
